matrix_index,mixture_num,max_key_mol,max_key_idx,max_query_mol,max_weight_val,min_key_mol,min_key_idx,min_query_mol,min_weight_val
443,0,Cc1ccc2ncccc2c1,28,C=CCc1ccc(O)c(OC)c1,0.44978726,CCCCC(=O)O,31,C=CCc1ccc(O)c(OC)c1,0.035033304
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,SCc1ccco1,0.68206877,C=CCCCCCCCCC(=O)O,40,SCc1ccco1,0.009887089
443,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CCCCCCC=O,0.6245948,CCCCCCCC1CCC(=O)O1,39,CCCCCCC=O,0.086297974
443,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CCCCCC=O,0.5916766,CCCCCCCC1CCC(=O)O1,39,CCCCCC=O,0.13078013
443,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CCCCCCO,0.5900013,CCCCC(=O)O,31,CCCCCCO,0.11104925
443,0,CCCSCCC,35,COC(OC)C(C)c1ccccc1,0.39025477,C=CCCCCCCCCC(=O)O,40,COC(OC)C(C)c1ccccc1,0.06644531
443,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CC(CC=O)CCCC(C)(C)O,0.44755703,CCCCCCCC1CCC(=O)O1,39,CC(CC=O)CCCC(C)(C)O,0.015864348
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,c1ccc2[nH]ccc2c1,0.7442595,CCCCCCCC1CCC(=O)O1,39,c1ccc2[nH]ccc2c1,0.08599556
443,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,CC(C)=CCCC(C)C=O,0.37110928,C=CCCCCCCCCC(=O)O,40,CC(C)=CCCC(C)C=O,0.036930844
443,0,Cc1ccccc1,38,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.36151156,C=CCCCCCCCCC(=O)O,40,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.03788366
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,COc1ccc2ccccc2c1,0.52690786,C=CCCCCCCCCC(=O)O,40,COc1ccc2ccccc2c1,0.030726623
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,COC(=O)c1ccccc1N,0.7526355,C=CCCCCCCCCC(=O)O,40,COC(=O)c1ccccc1N,0.09175702
443,0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5,Cc1ccc2ncccc2c1,0.63402224,CCCCCCCC1CCC(=O)O1,39,Cc1ccc2ncccc2c1,0.09047881
443,0,Cc1ccc(C(C)C)c(O)c1,37,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.6336385,C=CCCCCCCCCC(=O)O,40,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.023752348
443,0,CCCSCCC,35,C=CC(O)CCCCC,0.42132977,CC(C)CC(=O)O,41,C=CC(O)CCCCC,0.07238314
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCCC(=O)O,0.64933383,CCOC(=O)CC,14,CCCCC(=O)O,0.1297002
443,0,CCCSCCC,35,OCCc1ccccc1,0.45596874,CCCCC(=O)O,31,OCCc1ccccc1,0.021112135
443,0,CCCSCCC,35,CC1=CCC2CC1C2(C)C,0.37080917,CCCCC(=O)O,31,CC1=CCC2CC1C2(C)C,0.049624823
443,0,CSSSC,13,CCCOC(=O)CCC,0.6686433,CC(C)CC(=O)O,41,CCCOC(=O)CCC,0.1120279
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,CCCSCCC,0.7012419,C=CCCCCCCCCC(=O)O,40,CCCSCCC,0.030113937
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,c1ccsc1,0.71832097,C=CCCCCCCCCC(=O)O,40,c1ccsc1,0.016672356
443,0,Cc1ccccc1,38,Cc1ccc(C(C)C)c(O)c1,0.4063918,CCOC(=O)CC,14,Cc1ccc(C(C)C)c(O)c1,0.06935264
443,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,Cc1ccccc1,0.5946843,C=CCCCCCCCCC(=O)O,40,Cc1ccccc1,0.10094288
443,0,Cc1ccc2ncccc2c1,28,CCCCCCCC1CCC(=O)O1,0.47428915,CCCCC(=O)O,31,CCCCCCCC1CCC(=O)O1,0.0756528
